onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	order	response	correctness	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.069060891648405	1.095687715758686	DISTANT	1.095687715758686	3_1	100	zöldség	korlátlan		new	1	2637	7	2	3	1924	9	3	2	2.05	3.9	4.75	3.95	0.7183503509999999
34.0825372121617	1.074690198569442	FOIL	1.074690198569442	3_1	13	célpont	potenciális		new	1	3846	7	2	1	2486	11	5	2	4.55	5.8	4.7	6.4	0.0
42.0858822146256	1.2470816716959234	DISTANT	1.2470816716959234	3_1	1	akadály	képzeletbeli		old	0	6030	7	3	2	646	12	5	1	3.85	3.6	3.95	6.0	0.681170285
46.09906499253702	1.3700906216690782	CLOSE	1.3700906216690782	3_1	39	készpénz	szerény		new	1	3600	8	2	3	3344	7	2	5	3.2	3.75	4.05	2.25	0.885355115
54.098434618768806	1.1300447511603124	CLOSE	1.1300447511603124	3_1	40	kesztyű	divatos		new	1	891	7	2	1	1703	7	3	3	1.95	6.05	6.2	6.75	0.753719985
60.09870331526327	1.4817989499570103	TARGET	1.4817989499570103	3_1	76	szakadék	iszonyatos		old	1	1478	8	3	4	452	10	4	6	5.1	4.75	5.85	5.65	0.891412258
66.11497776786564	1.297442157891055	TARGET	1.297442157891055	3_1	77	szélvihar	hirtelen		old	1	490	9	3	0	6756	8	3	4	4.6	6.2	6.2	6.65	0.850282848
74.11535763145366	1.11339504559146	FOIL	1.11339504559146	3_1	14	családfő	becsületes		new	1	479	8	3	1	1099	10	4	6	2.65	5.8	4.7	6.65	0.0
82.11872210096772	1.373771174577996	DISTANT	1.373771174577996	3_1	2	albérlet	hátrányos		new	1	547	8	3	1	5583	9	3	6	4.3	4.4	4.3	4.05	0.60664767
90.13107291870256	1.0167391003124069	FOIL	1.0167391003124069	3_1	15	csarnok	hivatali		new	1	1997	7	2	5	4213	8	4	7	1.6	5.45	5.1	4.45	0.0
100.13154294546256	1.1124793258713908	TARGET	1.1124793258713908	3_1	78	szemüveg	kényelmes		new	0	1594	8	3	4	3437	9	3	8	2.15	6.1	6.05	6.7	0.84095335
108.14789296095114	0.9201072326977736	TARGET	0.9201072326977736	3_1	79	szerszám	trükkös		old	1	812	8	2	4	689	7	2	7	1.7	3.15	3.55	4.15	0.781269133
118.14835351033253	1.3438421242899494	FOIL	1.3438421242899494	3_1	16	császár	tudatos		new	1	1880	7	2	5	2350	7	3	6	2.1	3.9	3.25	4.75	0.0
122.15153253059545	1.2365228470152942	DISTANT	1.2365228470152942	3_1	3	alkatrész	karbantartási		old	0	2625	9	3	2	503	13	5	4	1.55	4.7	4.65	4.65	0.6785420179
