onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.070118695512065	2.0	BASELINE	1.052129303541733	StimuliTable-2453-Mapping-Run5.xlsx	3	alkatrész	műszaki	6	3	2	2625	9	3	2	11955	7	3	1	1.6	5.9	5.6	6.45	1.0
34.05762004989083	2.0	BASELINE	0.8642669369583018	StimuliTable-2453-Mapping-Run5.xlsx	44	kollégium	főiskolai	8	4	2	3139	9	4	3	1294	9	5	2	2.5	6.6	6.2	6.45	1.0
44.06310106268211	2.0	CLOSE	0.9873540703993058	StimuliTable-2453-Mapping-Run5.xlsx	29	hangszer	könnyűzenei	8	3	2	1828	8	2	3	420	11	5	1	2.1	6.1	6.2	6.25	0.7948508259999999
56.0956912907568	2.0	BASELINE	0.8264984606939834	StimuliTable-2453-Mapping-Run5.xlsx	42	kirándulás	hétvégi	10	3	2	1896	10	4	4	4177	7	3	5	2.95	6.05	6.3	6.9	1.0
66.09617233301105	2.0	CLOSE	1.0743538139940938	StimuliTable-2453-Mapping-Run5.xlsx	33	iránytű	előnyös	8	2	2	794	7	3	2	2414	7	3	1	1.35	2.9	3.25	2.35	0.8048268559999999
74.11055826258962	2.0	CLOSE	1.139150307251839	StimuliTable-2453-Mapping-Run5.xlsx	76	szakadék	rettenetes	6	3	2	1478	8	3	4	868	10	4	8	5.2	5.15	6.55	6.15	0.891412258
82.1119329983485	2.0	BASELINE	0.9863789224618812	StimuliTable-2453-Mapping-Run5.xlsx	88	törmelék	építkezési	6	4	2	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
94.1275217897055	2.0	DISTANT	1.306502036488382	StimuliTable-2453-Mapping-Run5.xlsx	27	folyadék	aránytalan	10	2	2	1438	8	3	3	727	10	4	2	2.25	3.1	2.9	2.5	0.676598668
106.14408957120033	2.0	CLOSE	1.0098798085964518	StimuliTable-2453-Mapping-Run5.xlsx	69	pénztárca	titokzatos	10	1	2	1902	9	3	3	1438	10	4	2	2.65	3.3	3.3	3.25	0.799133718
114.16048650328594	2.0	BASELINE	0.849143050640123	StimuliTable-2453-Mapping-Run5.xlsx	65	olimpikon	legendás	6	4	2	644	9	4	2	3949	8	3	5	2.15	5.8	5.5	6.6	1.0
122.16686197802484	2.0	DISTANT	1.0908775383722968	StimuliTable-2453-Mapping-Run5.xlsx	38	kerékpár	hardveres	6	1	2	3466	8	3	3	1550	9	3	5	1.65	2.65	1.5	2.4	0.6436905860000001
