onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
24.05012624157098	2.0	BASELINE	1.4450360563969298	StimuliTable-7962-Mapping-Run8.xlsx	76	szakadék	iszonyatos	6	2	2	1478	8	3	4	452	10	4	6	5.1	4.75	5.85	5.65	1.0
34.049603447518166	2.0	DISTANT	1.7173308149031072	StimuliTable-7962-Mapping-Run8.xlsx	27	folyadék	aránytalan	8	1	2	1438	8	3	3	727	10	4	2	2.25	3.1	2.9	2.5	0.676598668
42.04999304563535	2.0	BASELINE	1.0850732692924794	StimuliTable-7962-Mapping-Run8.xlsx	52	matrica	fizetős	6	4	2	1479	7	3	2	2152	7	3	2	2.75	5.8	5.4	5.6	1.0
54.04957629604178	2.0	BASELINE	1.1173630380762916	StimuliTable-7962-Mapping-Run8.xlsx	94	vacsora	zártkörű	10	4	2	2517	7	3	1	562	8	3	1	2.45	5.85	5.4	6.9	1.0
64.05005247151348	2.0	CLOSE	1.765070800043759	StimuliTable-7962-Mapping-Run8.xlsx	71	professzor	jogtudományi	8	1	2	6091	10	3	5	382	12	5	3	1.8	6.2	5.45	6.55	0.774288118
72.0494215838371	2.0	CLOSE	1.4053849068004638	StimuliTable-7962-Mapping-Run8.xlsx	89	tudomány	építészeti	6	3	2	3986	8	3	5	1116	10	5	7	1.75	3.95	4.45	5.85	0.7951859240000001
82.0488813718548	2.0	DISTANT	1.6293917838083871	StimuliTable-7962-Mapping-Run8.xlsx	33	iránytű	funkcionális	8	2	2	794	7	3	2	570	12	5	1	1.75	4.9	4.85	4.9	0.6793020959999999
94.0495066243202	2.0	CLOSE	1.7253599684227083	StimuliTable-7962-Mapping-Run8.xlsx	51	magazin	kutatási	10	3	2	7307	7	3	2	3464	8	4	6	1.7	4.85	4.8	5.1	0.882873833
102.0488808595619	2.0	BASELINE	1.3094454105412296	StimuliTable-7962-Mapping-Run8.xlsx	54	menetrend	szokásos	6	4	2	4833	9	3	2	8246	8	3	6	1.7	5.4	4.45	6.65	1.0
114.0484328601524	2.0	CLOSE	0.9094019169460807	StimuliTable-7962-Mapping-Run8.xlsx	41	királynő	gyönyörű	10	4	2	2060	8	3	2	4450	8	3	6	2.95	5.7	6.7	6.6	0.846518397
122.0488070895044	2.0	DISTANT	1.2213657552747463	StimuliTable-7962-Mapping-Run8.xlsx	15	csecsemő	tevékeny	6	4	2	2039	8	3	2	403	8	3	2	2.4	4.65	4.65	4.15	0.655481756
132.04831989975355	2.0	DISTANT	1.0694434945689864	StimuliTable-7962-Mapping-Run8.xlsx	43	kolbász	szezonális	8	2	2	867	7	2	2	973	10	4	1	1.6	3.9	3.95	3.15	0.605840862
142.04880145429345	2.0	BASELINE	1.597427832777612	StimuliTable-7962-Mapping-Run8.xlsx	30	háziorvos	elégedetlen	8	1	2	2011	9	4	4	2000	11	5	3	4.1	5.6	5.2	5.6	1.0
154.04839495053966	2.0	BASELINE	1.2693744376010727	StimuliTable-7962-Mapping-Run8.xlsx	17	csillagász	figyelmes	10	1	2	606	10	3	4	1273	9	3	8	1.9	4.4	4.85	5.8	1.0
164.04887573664382	2.0	DISTANT	1.3252012091106735	StimuliTable-7962-Mapping-Run8.xlsx	25	fejedelem	gyarmati	8	3	2	903	9	4	3	862	8	3	3	2.75	4.75	3.35	4.8	0.65641886
172.04824664198895	2.0	CLOSE	1.3495358505861077	StimuliTable-7962-Mapping-Run8.xlsx	66	oroszlán	csendes	6	2	2	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
184.0488385954668	2.0	CLOSE	1.253183446922776	StimuliTable-7962-Mapping-Run8.xlsx	14	boríték	szavazási	10	2	2	1364	7	3	3	407	9	4	7	3.5	6.65	6.65	6.85	0.75406909
196.04841569836933	2.0	BASELINE	1.5894655333722767	StimuliTable-7962-Mapping-Run8.xlsx	38	kerékpár	elektromos	10	4	2	3466	8	3	3	4185	10	4	2	1.75	6.55	6.7	6.95	1.0
